date,amount,amount_other,balance,account_id,business_NAF_code,user_id,month_sin,month_cos,previous_balance_1,previous_amount_1,previous_other_1,previous_balance_2,previous_amount_2,previous_other_2,previous_balance_3,previous_amount_3,previous_other_3,previous_balance_4,previous_amount_4,previous_other_4,previous_balance_5,previous_amount_5,previous_other_5,previous_balance_6,previous_amount_6,previous_other_6
2020-07-31,3847.82,-3674.94,-4776.88,9,4778C,71,-0.4999999999999997,-0.8660254037844388,-4949.76,2650.29,-4945.91,-2654.14,3705.51,-3158.71,-3200.94,5463.94,-6343.45,-2321.43,4816.68,-3266.27,-3871.84,69.5,-1011.2,0.1,0.0,0.0
2020-08-31,4264.06,-4179.86,-4692.68,9,4778C,71,-0.8660254037844385,-0.5000000000000004,-4776.88,3847.82,-3674.94,-4949.76,2650.29,-4945.91,-2654.14,3705.51,-3158.71,-3200.94,5463.94,-6343.45,-2321.43,4816.68,-3266.27,-3871.84,69.5,-1011.2
2020-09-30,6098.54,-2272.94,-867.08,9,4778C,71,-1.0,-1.8369701987210297e-16,-4692.68,4264.06,-4179.86,-4776.88,3847.82,-3674.94,-4949.76,2650.29,-4945.91,-2654.14,3705.51,-3158.71,-3200.94,5463.94,-6343.45,-2321.43,4816.68,-3266.27
2019-08-31,1075.33,-1871.92,-11538.38,12,6201Z,197,-0.8660254037844385,-0.5000000000000004,-10741.79,3422.02,-2886.37,-11277.44,4460.0,-3253.56,-12483.88,1500.0,-1350.0,-12633.88,1150.0,-1179.27,-12604.61,200.0,-269.31,0.1,0.0,0.0
2019-09-30,3265.44,-2929.67,-11202.61,12,6201Z,197,-1.0,-1.8369701987210297e-16,-11538.38,1075.33,-1871.92,-10741.79,3422.02,-2886.37,-11277.44,4460.0,-3253.56,-12483.88,1500.0,-1350.0,-12633.88,1150.0,-1179.27,-12604.61,200.0,-269.31
2019-10-31,3262.0,-3252.53,-11193.14,12,6201Z,197,-0.8660254037844386,0.5000000000000001,-11202.61,3265.44,-2929.67,-11538.38,1075.33,-1871.92,-10741.79,3422.02,-2886.37,-11277.44,4460.0,-3253.56,-12483.88,1500.0,-1350.0,-12633.88,1150.0,-1179.27
2019-11-30,4446.0,-3593.12,-10340.26,12,6201Z,197,-0.5000000000000004,0.8660254037844384,-11193.14,3262.0,-3252.53,-11202.61,3265.44,-2929.67,-11538.38,1075.33,-1871.92,-10741.79,3422.02,-2886.37,-11277.44,4460.0,-3253.56,-12483.88,1500.0,-1350.0
2019-12-31,2060.0,-2719.06,-10999.32,12,6201Z,197,-2.4492935982947064e-16,1.0,-10340.26,4446.0,-3593.12,-11193.14,3262.0,-3252.53,-11202.61,3265.44,-2929.67,-11538.38,1075.33,-1871.92,-10741.79,3422.02,-2886.37,-11277.44,4460.0,-3253.56
2020-01-31,7700.0,-3982.43,-7281.75,12,6201Z,197,0.49999999999999994,0.8660254037844387,-10999.32,2060.0,-2719.06,-10340.26,4446.0,-3593.12,-11193.14,3262.0,-3252.53,-11202.61,3265.44,-2929.67,-11538.38,1075.33,-1871.92,-10741.79,3422.02,-2886.37
2020-02-29,3025.0,-1591.3,-5848.05,12,6201Z,197,0.8660254037844386,0.5000000000000001,-7281.75,7700.0,-3982.43,-10999.32,2060.0,-2719.06,-10340.26,4446.0,-3593.12,-11193.14,3262.0,-3252.53,-11202.61,3265.44,-2929.67,-11538.38,1075.33,-1871.92
2020-03-31,2930.0,-1875.83,-4793.88,12,6201Z,197,1.0,6.123233995736766e-17,-5848.05,3025.0,-1591.3,-7281.75,7700.0,-3982.43,-10999.32,2060.0,-2719.06,-10340.26,4446.0,-3593.12,-11193.14,3262.0,-3252.53,-11202.61,3265.44,-2929.67
2020-04-30,2300.0,-1382.24,-3876.12,12,6201Z,197,0.8660254037844387,-0.4999999999999998,-4793.88,2930.0,-1875.83,-5848.05,3025.0,-1591.3,-7281.75,7700.0,-3982.43,-10999.32,2060.0,-2719.06,-10340.26,4446.0,-3593.12,-11193.14,3262.0,-3252.53
2020-05-31,0.0,-1998.8,-5874.92,12,6201Z,197,0.49999999999999994,-0.8660254037844387,-3876.12,2300.0,-1382.24,-4793.88,2930.0,-1875.83,-5848.05,3025.0,-1591.3,-7281.75,7700.0,-3982.43,-10999.32,2060.0,-2719.06,-10340.26,4446.0,-3593.12
2020-06-30,1000.0,-1087.96,-5962.88,12,6201Z,197,1.2246467991473532e-16,-1.0,-5874.92,0.0,-1998.8,-3876.12,2300.0,-1382.24,-4793.88,2930.0,-1875.83,-5848.05,3025.0,-1591.3,-7281.75,7700.0,-3982.43,-10999.32,2060.0,-2719.06
2020-07-31,5018.2,-2376.12,-3320.8,12,6201Z,197,-0.4999999999999997,-0.8660254037844388,-5962.88,1000.0,-1087.96,-5874.92,0.0,-1998.8,-3876.12,2300.0,-1382.24,-4793.88,2930.0,-1875.83,-5848.05,3025.0,-1591.3,-7281.75,7700.0,-3982.43
2020-08-31,8020.15,-4540.98,158.37,12,6201Z,197,-0.8660254037844385,-0.5000000000000004,-3320.8,5018.2,-2376.12,-5962.88,1000.0,-1087.96,-5874.92,0.0,-1998.8,-3876.12,2300.0,-1382.24,-4793.88,2930.0,-1875.83,-5848.05,3025.0,-1591.3
2020-09-30,4218.0,-3946.5,429.87,12,6201Z,197,-1.0,-1.8369701987210297e-16,158.37,8020.15,-4540.98,-3320.8,5018.2,-2376.12,-5962.88,1000.0,-1087.96,-5874.92,0.0,-1998.8,-3876.12,2300.0,-1382.24,-4793.88,2930.0,-1875.83
2019-06-30,6415.0,-709.0,6429.23,13,6201Z,197,1.2246467991473532e-16,-1.0,723.23,12913.53,-14311.0,2120.7,1200.0,-5459.0,6379.7,6385.0,-9.0,3.7,0.0,-767.3,771.0,750.0,-9.0,30.0,40.0,-10.0
2019-07-31,4790.0,-1825.0,9394.23,13,6201Z,197,-0.4999999999999997,-0.8660254037844388,6429.23,6415.0,-709.0,723.23,12913.53,-14311.0,2120.7,1200.0,-5459.0,6379.7,6385.0,-9.0,3.7,0.0,-767.3,771.0,750.0,-9.0
2019-08-31,6834.0,-6741.2,9487.03,13,6201Z,197,-0.8660254037844385,-0.5000000000000004,9394.23,4790.0,-1825.0,6429.23,6415.0,-709.0,723.23,12913.53,-14311.0,2120.7,1200.0,-5459.0,6379.7,6385.0,-9.0,3.7,0.0,-767.3
2019-09-30,6834.0,-8309.0,8012.03,13,6201Z,197,-1.0,-1.8369701987210297e-16,9487.03,6834.0,-6741.2,9394.23,4790.0,-1825.0,6429.23,6415.0,-709.0,723.23,12913.53,-14311.0,2120.7,1200.0,-5459.0,6379.7,6385.0,-9.0
2019-10-31,6327.0,-4245.0,10094.03,13,6201Z,197,-0.8660254037844386,0.5000000000000001,8012.03,6834.0,-8309.0,9487.03,6834.0,-6741.2,9394.23,4790.0,-1825.0,6429.23,6415.0,-709.0,723.23,12913.53,-14311.0,2120.7,1200.0,-5459.0
2019-11-30,10650.8,-11690.0,9054.83,13,6201Z,197,-0.5000000000000004,0.8660254037844384,10094.03,6327.0,-4245.0,8012.03,6834.0,-8309.0,9487.03,6834.0,-6741.2,9394.23,4790.0,-1825.0,6429.23,6415.0,-709.0,723.23,12913.53,-14311.0
2019-12-31,9246.0,-2809.0,15491.83,13,6201Z,197,-2.4492935982947064e-16,1.0,9054.83,10650.8,-11690.0,10094.03,6327.0,-4245.0,8012.03,6834.0,-8309.0,9487.03,6834.0,-6741.2,9394.23,4790.0,-1825.0,6429.23,6415.0,-709.0
2020-01-31,0.0,-9824.0,5667.83,13,6201Z,197,0.49999999999999994,0.8660254037844387,15491.83,9246.0,-2809.0,9054.83,10650.8,-11690.0,10094.03,6327.0,-4245.0,8012.03,6834.0,-8309.0,9487.03,6834.0,-6741.2,9394.23,4790.0,-1825.0
2020-02-29,0.0,-5452.0,215.83,13,6201Z,197,0.8660254037844386,0.5000000000000001,5667.83,0.0,-9824.0,15491.83,9246.0,-2809.0,9054.83,10650.8,-11690.0,10094.03,6327.0,-4245.0,8012.03,6834.0,-8309.0,9487.03,6834.0,-6741.2
2020-09-30,8640.0,-11843.92,12.24,13,6201Z,197,-1.0,-1.8369701987210297e-16,3216.16,12960.0,-9753.92,10.08,0.0,-1779.92,1790.0,1509.0,-2599.0,2880.0,1509.0,-385.0,1756.0,1509.0,-53.0,300.0,300.0,-215.83
2018-11-30,0.0,0.0,1886.74,14,4321A,38,-0.5000000000000004,0.8660254037844384,1886.74,57.86,-57.3,1886.18,991.62,-991.64,1886.2,179.0,-178.76,1885.96,0.0,-0.18,1886.14,218.49,-249.12,1916.77,418.11,-387.3
2020-01-31,0.0,-160.03,1887.11,14,4321A,38,0.49999999999999994,0.8660254037844387,2047.14,198.5,-56.28,1904.92,1676.14,-1734.67,1963.45,2000.0,-1923.47,1886.92,64.5,-63.79,1886.21,0.0,0.0,1886.21,54.25,-54.0
2020-08-31,457.46,-1751.41,319.29,14,4321A,38,-0.8660254037844385,-0.5000000000000004,1613.24,1728.18,-2105.37,1990.43,1500.0,-1405.94,1896.37,1500.0,-1643.65,2040.02,1561.85,-1408.1,1886.27,259.28,-260.12,1887.11,0.0,0.0
2020-09-30,1.46,-266.11,54.64,14,4321A,38,-1.0,-1.8369701987210297e-16,319.29,457.46,-1751.41,1613.24,1728.18,-2105.37,1990.43,1500.0,-1405.94,1896.37,1500.0,-1643.65,2040.02,1561.85,-1408.1,1886.27,259.28,-260.12
2019-12-31,0.0,0.0,-2979.5,16,5320Z,188,-2.4492935982947064e-16,1.0,-2979.5,10.5,-10.5,-2979.5,330.0,-331.01,-2978.49,55.0,-66.96,-2966.53,425.0,-431.53,-2960.0,20.0,0.0,0.1,0.0,0.0
2020-01-31,0.0,0.0,-2979.5,16,5320Z,188,0.49999999999999994,0.8660254037844387,-2979.5,0.0,0.0,-2979.5,10.5,-10.5,-2979.5,330.0,-331.01,-2978.49,55.0,-66.96,-2966.53,425.0,-431.53,-2960.0,20.0,0.0
2020-06-30,1500.0,-1500.52,0.25,19,5320Z,119,1.2246467991473532e-16,-1.0,0.77,3500.0,-3387.29,-111.94,1614.42,-191.34,-1535.02,271.25,-269.79,-1536.48,267.55,-267.55,-1536.48,115.4,-114.88,0.1,0.0,0.0
2020-07-31,1500.0,-1202.75,297.5,19,5320Z,119,-0.4999999999999997,-0.8660254037844388,0.25,1500.0,-1500.52,0.77,3500.0,-3387.29,-111.94,1614.42,-191.34,-1535.02,271.25,-269.79,-1536.48,267.55,-267.55,-1536.48,115.4,-114.88
2020-08-31,0.0,-297.39,0.11,19,5320Z,119,-0.8660254037844385,-0.5000000000000004,297.5,1500.0,-1202.75,0.25,1500.0,-1500.52,0.77,3500.0,-3387.29,-111.94,1614.42,-191.34,-1535.02,271.25,-269.79,-1536.48,267.55,-267.55
2019-04-30,7382.3,-7300.05,-14667.69,20,7112B,146,0.8660254037844387,-0.4999999999999998,-14749.94,3111.4,-3353.94,-14507.4,4949.41,-5588.67,-13868.14,7333.2,-6708.42,-14492.92,5674.5,-1042.92,-19124.5,915.0,-910.8,0.1,0.0,0.0
2019-05-31,5276.0,-2854.8,-12246.49,20,7112B,146,0.49999999999999994,-0.8660254037844387,-14667.69,7382.3,-7300.05,-14749.94,3111.4,-3353.94,-14507.4,4949.41,-5588.67,-13868.14,7333.2,-6708.42,-14492.92,5674.5,-1042.92,-19124.5,915.0,-910.8
2019-06-30,7657.52,-7653.26,-12242.23,20,7112B,146,1.2246467991473532e-16,-1.0,-12246.49,5276.0,-2854.8,-14667.69,7382.3,-7300.05,-14749.94,3111.4,-3353.94,-14507.4,4949.41,-5588.67,-13868.14,7333.2,-6708.42,-14492.92,5674.5,-1042.92
2019-07-31,7546.15,-4578.55,-9274.63,20,7112B,146,-0.4999999999999997,-0.8660254037844388,-12242.23,7657.52,-7653.26,-12246.49,5276.0,-2854.8,-14667.69,7382.3,-7300.05,-14749.94,3111.4,-3353.94,-14507.4,4949.41,-5588.67,-13868.14,7333.2,-6708.42
2019-08-31,7959.0,-5514.79,-6830.42,20,7112B,146,-0.8660254037844385,-0.5000000000000004,-9274.63,7546.15,-4578.55,-12242.23,7657.52,-7653.26,-12246.49,5276.0,-2854.8,-14667.69,7382.3,-7300.05,-14749.94,3111.4,-3353.94,-14507.4,4949.41,-5588.67
2019-09-30,3952.0,-3967.79,-6846.21,20,7112B,146,-1.0,-1.8369701987210297e-16,-6830.42,7959.0,-5514.79,-9274.63,7546.15,-4578.55,-12242.23,7657.52,-7653.26,-12246.49,5276.0,-2854.8,-14667.69,7382.3,-7300.05,-14749.94,3111.4,-3353.94
2019-10-31,5078.09,-5055.37,-6823.49,20,7112B,146,-0.8660254037844386,0.5000000000000001,-6846.21,3952.0,-3967.79,-6830.42,7959.0,-5514.79,-9274.63,7546.15,-4578.55,-12242.23,7657.52,-7653.26,-12246.49,5276.0,-2854.8,-14667.69,7382.3,-7300.05
2019-11-30,6578.21,-5887.51,-6132.79,20,7112B,146,-0.5000000000000004,0.8660254037844384,-6823.49,5078.09,-5055.37,-6846.21,3952.0,-3967.79,-6830.42,7959.0,-5514.79,-9274.63,7546.15,-4578.55,-12242.23,7657.52,-7653.26,-12246.49,5276.0,-2854.8
2019-12-31,1548.88,-2244.18,-6828.09,20,7112B,146,-2.4492935982947064e-16,1.0,-6132.79,6578.21,-5887.51,-6823.49,5078.09,-5055.37,-6846.21,3952.0,-3967.79,-6830.42,7959.0,-5514.79,-9274.63,7546.15,-4578.55,-12242.23,7657.52,-7653.26
2020-01-31,220.18,-240.19,-6848.1,20,7112B,146,0.49999999999999994,0.8660254037844387,-6828.09,1548.88,-2244.18,-6132.79,6578.21,-5887.51,-6823.49,5078.09,-5055.37,-6846.21,3952.0,-3967.79,-6830.42,7959.0,-5514.79,-9274.63,7546.15,-4578.55
2020-02-29,3420.0,-3421.57,-6849.67,20,7112B,146,0.8660254037844386,0.5000000000000001,-6848.1,220.18,-240.19,-6828.09,1548.88,-2244.18,-6132.79,6578.21,-5887.51,-6823.49,5078.09,-5055.37,-6846.21,3952.0,-3967.79,-6830.42,7959.0,-5514.79
2020-03-31,900.0,-898.83,-6848.5,20,7112B,146,1.0,6.123233995736766e-17,-6849.67,3420.0,-3421.57,-6848.1,220.18,-240.19,-6828.09,1548.88,-2244.18,-6132.79,6578.21,-5887.51,-6823.49,5078.09,-5055.37,-6846.21,3952.0,-3967.79
2020-04-30,0.0,0.0,-6848.5,20,7112B,146,0.8660254037844387,-0.4999999999999998,-6848.5,900.0,-898.83,-6849.67,3420.0,-3421.57,-6848.1,220.18,-240.19,-6828.09,1548.88,-2244.18,-6132.79,6578.21,-5887.51,-6823.49,5078.09,-5055.37
2020-05-31,13408.28,-8558.98,-1999.2,20,7112B,146,0.49999999999999994,-0.8660254037844387,-6848.5,0.0,0.0,-6848.5,900.0,-898.83,-6849.67,3420.0,-3421.57,-6848.1,220.18,-240.19,-6828.09,1548.88,-2244.18,-6132.79,6578.21,-5887.51
2020-06-30,5804.0,-5802.4,-1997.6,20,7112B,146,1.2246467991473532e-16,-1.0,-1999.2,13408.28,-8558.98,-6848.5,0.0,0.0,-6848.5,900.0,-898.83,-6849.67,3420.0,-3421.57,-6848.1,220.18,-240.19,-6828.09,1548.88,-2244.18
2020-07-31,8150.0,-6150.48,1.92,20,7112B,146,-0.4999999999999997,-0.8660254037844388,-1997.6,5804.0,-5802.4,-1999.2,13408.28,-8558.98,-6848.5,0.0,0.0,-6848.5,900.0,-898.83,-6849.67,3420.0,-3421.57,-6848.1,220.18,-240.19
2020-08-31,3688.0,-3299.87,390.05,20,7112B,146,-0.8660254037844385,-0.5000000000000004,1.92,8150.0,-6150.48,-1997.6,5804.0,-5802.4,-1999.2,13408.28,-8558.98,-6848.5,0.0,0.0,-6848.5,900.0,-898.83,-6849.67,3420.0,-3421.57
2020-09-30,0.0,-388.9,1.15,20,7112B,146,-1.0,-1.8369701987210297e-16,390.05,3688.0,-3299.87,1.92,8150.0,-6150.48,-1997.6,5804.0,-5802.4,-1999.2,13408.28,-8558.98,-6848.5,0.0,0.0,-6848.5,900.0,-898.83
2019-03-31,512.0,-361.44,3301.95,22,4619B,222,1.0,6.123233995736766e-17,3151.39,363.15,-427.81,3216.05,563.88,-525.64,3177.81,1405.67,-1340.7,3112.84,10.8,-115.21,3217.25,219.65,-10.8,0.1,0.0,0.0
2019-04-30,1224.82,-827.41,3699.36,22,4619B,222,0.8660254037844387,-0.4999999999999998,3301.95,512.0,-361.44,3151.39,363.15,-427.81,3216.05,563.88,-525.64,3177.81,1405.67,-1340.7,3112.84,10.8,-115.21,3217.25,219.65,-10.8
2019-05-31,1120.0,-1589.8,3229.56,22,4619B,222,0.49999999999999994,-0.8660254037844387,3699.36,1224.82,-827.41,3301.95,512.0,-361.44,3151.39,363.15,-427.81,3216.05,563.88,-525.64,3177.81,1405.67,-1340.7,3112.84,10.8,-115.21
2019-06-30,2193.22,-2290.18,3132.6,22,4619B,222,1.2246467991473532e-16,-1.0,3229.56,1120.0,-1589.8,3699.36,1224.82,-827.41,3301.95,512.0,-361.44,3151.39,363.15,-427.81,3216.05,563.88,-525.64,3177.81,1405.67,-1340.7
2019-07-31,645.03,-749.58,3028.05,22,4619B,222,-0.4999999999999997,-0.8660254037844388,3132.6,2193.22,-2290.18,3229.56,1120.0,-1589.8,3699.36,1224.82,-827.41,3301.95,512.0,-361.44,3151.39,363.15,-427.81,3216.05,563.88,-525.64
2019-08-31,2126.65,-1974.91,3179.79,22,4619B,222,-0.8660254037844385,-0.5000000000000004,3028.05,645.03,-749.58,3132.6,2193.22,-2290.18,3229.56,1120.0,-1589.8,3699.36,1224.82,-827.41,3301.95,512.0,-361.44,3151.39,363.15,-427.81
