date,amount,amount_other,balance,account_id,business_NAF_code,user_id,month_sin,month_cos,month_week_sin,month_week_cos,previous_balance_1,previous_amount_1,previous_other_1,previous_balance_2,previous_amount_2,previous_other_2,previous_balance_3,previous_amount_3,previous_other_3,previous_balance_4,previous_amount_4,previous_other_4,previous_balance_5,previous_amount_5,previous_other_5,previous_balance_6,previous_amount_6,previous_other_6,previous_balance_7,previous_amount_7,previous_other_7,previous_balance_8,previous_amount_8,previous_other_8,previous_balance_9,previous_amount_9,previous_other_9,previous_balance_10,previous_amount_10,previous_other_10,previous_balance_11,previous_amount_11,previous_other_11,previous_balance_12,previous_amount_12,previous_other_12
2020-07-20,-20.0,358.59,3386.96,1,9001Z,112,-0.4999999999999997,-0.8660254037844388,-0.9510565162951536,0.30901699437494723,3048.37,-138.76,240.97,2946.16,-710.85,545.35,3111.66,-730.79,786.93,3055.52,-531.63,297.0,3290.15,-1043.48,1382.94,2950.69,-3997.69,2595.09,4353.29,-2420.8,3822.7,2951.39,-2377.38,2650.91,2677.86,-707.13,786.76,2598.23,-2576.13,2376.4,2797.96,-499.43,715.0,2582.39,-302.52,154.95
2020-07-27,-3646.98,488.34,228.32,1,9001Z,112,-0.4999999999999997,-0.8660254037844388,-2.4492935982947064e-16,1.0,3386.96,-20.0,358.59,3048.37,-138.76,240.97,2946.16,-710.85,545.35,3111.66,-730.79,786.93,3055.52,-531.63,297.0,3290.15,-1043.48,1382.94,2950.69,-3997.69,2595.09,4353.29,-2420.8,3822.7,2951.39,-2377.38,2650.91,2677.86,-707.13,786.76,2598.23,-2576.13,2376.4,2797.96,-499.43,715.0
2020-08-03,-998.91,1747.93,977.34,1,9001Z,112,-0.8660254037844385,-0.5000000000000004,0.5877852522924732,-0.8090169943749473,228.32,-3646.98,488.34,3386.96,-20.0,358.59,3048.37,-138.76,240.97,2946.16,-710.85,545.35,3111.66,-730.79,786.93,3055.52,-531.63,297.0,3290.15,-1043.48,1382.94,2950.69,-3997.69,2595.09,4353.29,-2420.8,3822.7,2951.39,-2377.38,2650.91,2677.86,-707.13,786.76,2598.23,-2576.13,2376.4
2020-08-10,-1019.01,163.0,121.33,1,9001Z,112,-0.8660254037844385,-0.5000000000000004,-0.587785252292473,-0.8090169943749475,977.34,-998.91,1747.93,228.32,-3646.98,488.34,3386.96,-20.0,358.59,3048.37,-138.76,240.97,2946.16,-710.85,545.35,3111.66,-730.79,786.93,3055.52,-531.63,297.0,3290.15,-1043.48,1382.94,2950.69,-3997.69,2595.09,4353.29,-2420.8,3822.7,2951.39,-2377.38,2650.91,2677.86,-707.13,786.76
2020-08-17,-746.68,1150.0,524.65,1,9001Z,112,-0.8660254037844385,-0.5000000000000004,-0.9510565162951536,0.30901699437494723,121.33,-1019.01,163.0,977.34,-998.91,1747.93,228.32,-3646.98,488.34,3386.96,-20.0,358.59,3048.37,-138.76,240.97,2946.16,-710.85,545.35,3111.66,-730.79,786.93,3055.52,-531.63,297.0,3290.15,-1043.48,1382.94,2950.69,-3997.69,2595.09,4353.29,-2420.8,3822.7,2951.39,-2377.38,2650.91
2020-08-24,-1949.45,1605.5,180.7,1,9001Z,112,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,524.65,-746.68,1150.0,121.33,-1019.01,163.0,977.34,-998.91,1747.93,228.32,-3646.98,488.34,3386.96,-20.0,358.59,3048.37,-138.76,240.97,2946.16,-710.85,545.35,3111.66,-730.79,786.93,3055.52,-531.63,297.0,3290.15,-1043.48,1382.94,2950.69,-3997.69,2595.09,4353.29,-2420.8,3822.7
2020-08-31,-2949.93,3277.5,508.27,1,9001Z,112,-0.8660254037844385,-0.5000000000000004,0.9510565162951535,0.30901699437494773,180.7,-1949.45,1605.5,524.65,-746.68,1150.0,121.33,-1019.01,163.0,977.34,-998.91,1747.93,228.32,-3646.98,488.34,3386.96,-20.0,358.59,3048.37,-138.76,240.97,2946.16,-710.85,545.35,3111.66,-730.79,786.93,3055.52,-531.63,297.0,3290.15,-1043.48,1382.94,2950.69,-3997.69,2595.09
2020-09-07,-934.15,543.3,117.42,1,9001Z,112,-1.0,-1.8369701987210297e-16,0.5877852522924732,-0.8090169943749473,508.27,-2949.93,3277.5,180.7,-1949.45,1605.5,524.65,-746.68,1150.0,121.33,-1019.01,163.0,977.34,-998.91,1747.93,228.32,-3646.98,488.34,3386.96,-20.0,358.59,3048.37,-138.76,240.97,2946.16,-710.85,545.35,3111.66,-730.79,786.93,3055.52,-531.63,297.0,3290.15,-1043.48,1382.94
2020-09-14,-2719.71,2624.55,22.26,1,9001Z,112,-1.0,-1.8369701987210297e-16,-0.587785252292473,-0.8090169943749475,117.42,-934.15,543.3,508.27,-2949.93,3277.5,180.7,-1949.45,1605.5,524.65,-746.68,1150.0,121.33,-1019.01,163.0,977.34,-998.91,1747.93,228.32,-3646.98,488.34,3386.96,-20.0,358.59,3048.37,-138.76,240.97,2946.16,-710.85,545.35,3111.66,-730.79,786.93,3055.52,-531.63,297.0
2020-09-21,-531.99,909.55,399.82,1,9001Z,112,-1.0,-1.8369701987210297e-16,-0.9510565162951536,0.30901699437494723,22.26,-2719.71,2624.55,117.42,-934.15,543.3,508.27,-2949.93,3277.5,180.7,-1949.45,1605.5,524.65,-746.68,1150.0,121.33,-1019.01,163.0,977.34,-998.91,1747.93,228.32,-3646.98,488.34,3386.96,-20.0,358.59,3048.37,-138.76,240.97,2946.16,-710.85,545.35,3111.66,-730.79,786.93
2020-09-28,-1600.17,734.69,-465.66,1,9001Z,112,-1.0,-1.8369701987210297e-16,-2.4492935982947064e-16,1.0,399.82,-531.99,909.55,22.26,-2719.71,2624.55,117.42,-934.15,543.3,508.27,-2949.93,3277.5,180.7,-1949.45,1605.5,524.65,-746.68,1150.0,121.33,-1019.01,163.0,977.34,-998.91,1747.93,228.32,-3646.98,488.34,3386.96,-20.0,358.59,3048.37,-138.76,240.97,2946.16,-710.85,545.35
2019-09-30,-1095.7,1508.63,2645.54,2,4932Z,104,-1.0,-1.8369701987210297e-16,0.9510565162951535,0.30901699437494773,2232.61,-1314.12,1854.96,1691.77,-596.58,542.83,1745.52,-2880.67,843.41,3782.78,-1022.06,2597.74,2207.1,-469.86,1956.13,720.83,-951.72,2231.91,-559.36,-1489.7,1973.0,-1042.66,-555.58,974.53,-1461.61,-1040.13,860.8,-1282.28,-1069.23,1052.18,-1265.23,-170.7,1405.47,0.1,0.0,0.0
2019-10-07,-1436.31,1118.43,2327.66,2,4932Z,104,-0.8660254037844386,0.5000000000000001,0.5877852522924732,-0.8090169943749473,2645.54,-1095.7,1508.63,2232.61,-1314.12,1854.96,1691.77,-596.58,542.83,1745.52,-2880.67,843.41,3782.78,-1022.06,2597.74,2207.1,-469.86,1956.13,720.83,-951.72,2231.91,-559.36,-1489.7,1973.0,-1042.66,-555.58,974.53,-1461.61,-1040.13,860.8,-1282.28,-1069.23,1052.18,-1265.23,-170.7,1405.47
2019-10-14,-1482.17,1128.42,1973.91,2,4932Z,104,-0.8660254037844386,0.5000000000000001,-0.587785252292473,-0.8090169943749475,2327.66,-1436.31,1118.43,2645.54,-1095.7,1508.63,2232.61,-1314.12,1854.96,1691.77,-596.58,542.83,1745.52,-2880.67,843.41,3782.78,-1022.06,2597.74,2207.1,-469.86,1956.13,720.83,-951.72,2231.91,-559.36,-1489.7,1973.0,-1042.66,-555.58,974.53,-1461.61,-1040.13,860.8,-1282.28,-1069.23,1052.18
2019-10-21,-1105.42,269.24,1137.73,2,4932Z,104,-0.8660254037844386,0.5000000000000001,-0.9510565162951536,0.30901699437494723,1973.91,-1482.17,1128.42,2327.66,-1436.31,1118.43,2645.54,-1095.7,1508.63,2232.61,-1314.12,1854.96,1691.77,-596.58,542.83,1745.52,-2880.67,843.41,3782.78,-1022.06,2597.74,2207.1,-469.86,1956.13,720.83,-951.72,2231.91,-559.36,-1489.7,1973.0,-1042.66,-555.58,974.53,-1461.61,-1040.13,860.8
2019-10-28,-806.96,1663.24,1994.01,2,4932Z,104,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,1137.73,-1105.42,269.24,1973.91,-1482.17,1128.42,2327.66,-1436.31,1118.43,2645.54,-1095.7,1508.63,2232.61,-1314.12,1854.96,1691.77,-596.58,542.83,1745.52,-2880.67,843.41,3782.78,-1022.06,2597.74,2207.1,-469.86,1956.13,720.83,-951.72,2231.91,-559.36,-1489.7,1973.0,-1042.66,-555.58,974.53
2019-11-04,-1465.18,1427.87,1956.7,2,4932Z,104,-0.5000000000000004,0.8660254037844384,0.5877852522924732,-0.8090169943749473,1994.01,-806.96,1663.24,1137.73,-1105.42,269.24,1973.91,-1482.17,1128.42,2327.66,-1436.31,1118.43,2645.54,-1095.7,1508.63,2232.61,-1314.12,1854.96,1691.77,-596.58,542.83,1745.52,-2880.67,843.41,3782.78,-1022.06,2597.74,2207.1,-469.86,1956.13,720.83,-951.72,2231.91,-559.36,-1489.7,1973.0
2019-11-11,-2952.86,15.53,-980.63,2,4932Z,104,-0.5000000000000004,0.8660254037844384,-0.587785252292473,-0.8090169943749475,1956.7,-1465.18,1427.87,1994.01,-806.96,1663.24,1137.73,-1105.42,269.24,1973.91,-1482.17,1128.42,2327.66,-1436.31,1118.43,2645.54,-1095.7,1508.63,2232.61,-1314.12,1854.96,1691.77,-596.58,542.83,1745.52,-2880.67,843.41,3782.78,-1022.06,2597.74,2207.1,-469.86,1956.13,720.83,-951.72,2231.91
2019-11-18,-514.15,1606.28,111.5,2,4932Z,104,-0.5000000000000004,0.8660254037844384,-0.9510565162951536,0.30901699437494723,-980.63,-2952.86,15.53,1956.7,-1465.18,1427.87,1994.01,-806.96,1663.24,1137.73,-1105.42,269.24,1973.91,-1482.17,1128.42,2327.66,-1436.31,1118.43,2645.54,-1095.7,1508.63,2232.61,-1314.12,1854.96,1691.77,-596.58,542.83,1745.52,-2880.67,843.41,3782.78,-1022.06,2597.74,2207.1,-469.86,1956.13
2019-11-25,-796.11,990.19,305.58,2,4932Z,104,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,111.5,-514.15,1606.28,-980.63,-2952.86,15.53,1956.7,-1465.18,1427.87,1994.01,-806.96,1663.24,1137.73,-1105.42,269.24,1973.91,-1482.17,1128.42,2327.66,-1436.31,1118.43,2645.54,-1095.7,1508.63,2232.61,-1314.12,1854.96,1691.77,-596.58,542.83,1745.52,-2880.67,843.41,3782.78,-1022.06,2597.74
2019-12-02,-313.5,661.34,653.42,2,4932Z,104,-2.4492935982947064e-16,1.0,0.5877852522924732,-0.8090169943749473,305.58,-796.11,990.19,111.5,-514.15,1606.28,-980.63,-2952.86,15.53,1956.7,-1465.18,1427.87,1994.01,-806.96,1663.24,1137.73,-1105.42,269.24,1973.91,-1482.17,1128.42,2327.66,-1436.31,1118.43,2645.54,-1095.7,1508.63,2232.61,-1314.12,1854.96,1691.77,-596.58,542.83,1745.52,-2880.67,843.41
2019-12-09,-1095.9,509.27,66.79,2,4932Z,104,-2.4492935982947064e-16,1.0,-0.587785252292473,-0.8090169943749475,653.42,-313.5,661.34,305.58,-796.11,990.19,111.5,-514.15,1606.28,-980.63,-2952.86,15.53,1956.7,-1465.18,1427.87,1994.01,-806.96,1663.24,1137.73,-1105.42,269.24,1973.91,-1482.17,1128.42,2327.66,-1436.31,1118.43,2645.54,-1095.7,1508.63,2232.61,-1314.12,1854.96,1691.77,-596.58,542.83
2019-12-16,-643.25,1998.66,1422.2,2,4932Z,104,-2.4492935982947064e-16,1.0,-0.9510565162951536,0.30901699437494723,66.79,-1095.9,509.27,653.42,-313.5,661.34,305.58,-796.11,990.19,111.5,-514.15,1606.28,-980.63,-2952.86,15.53,1956.7,-1465.18,1427.87,1994.01,-806.96,1663.24,1137.73,-1105.42,269.24,1973.91,-1482.17,1128.42,2327.66,-1436.31,1118.43,2645.54,-1095.7,1508.63,2232.61,-1314.12,1854.96
2019-12-23,-750.09,2026.64,2698.75,2,4932Z,104,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,1422.2,-643.25,1998.66,66.79,-1095.9,509.27,653.42,-313.5,661.34,305.58,-796.11,990.19,111.5,-514.15,1606.28,-980.63,-2952.86,15.53,1956.7,-1465.18,1427.87,1994.01,-806.96,1663.24,1137.73,-1105.42,269.24,1973.91,-1482.17,1128.42,2327.66,-1436.31,1118.43,2645.54,-1095.7,1508.63
2019-12-30,-2348.59,667.24,1017.4,2,4932Z,104,-2.4492935982947064e-16,1.0,-0.9510565162951529,0.30901699437494956,2698.75,-750.09,2026.64,1422.2,-643.25,1998.66,66.79,-1095.9,509.27,653.42,-313.5,661.34,305.58,-796.11,990.19,111.5,-514.15,1606.28,-980.63,-2952.86,15.53,1956.7,-1465.18,1427.87,1994.01,-806.96,1663.24,1137.73,-1105.42,269.24,1973.91,-1482.17,1128.42,2327.66,-1436.31,1118.43
2020-01-06,-1142.0,1484.64,1360.04,2,4932Z,104,0.49999999999999994,0.8660254037844387,0.5877852522924732,-0.8090169943749473,1017.4,-2348.59,667.24,2698.75,-750.09,2026.64,1422.2,-643.25,1998.66,66.79,-1095.9,509.27,653.42,-313.5,661.34,305.58,-796.11,990.19,111.5,-514.15,1606.28,-980.63,-2952.86,15.53,1956.7,-1465.18,1427.87,1994.01,-806.96,1663.24,1137.73,-1105.42,269.24,1973.91,-1482.17,1128.42
2020-01-13,-1025.41,938.69,1273.32,2,4932Z,104,0.49999999999999994,0.8660254037844387,-0.587785252292473,-0.8090169943749475,1360.04,-1142.0,1484.64,1017.4,-2348.59,667.24,2698.75,-750.09,2026.64,1422.2,-643.25,1998.66,66.79,-1095.9,509.27,653.42,-313.5,661.34,305.58,-796.11,990.19,111.5,-514.15,1606.28,-980.63,-2952.86,15.53,1956.7,-1465.18,1427.87,1994.01,-806.96,1663.24,1137.73,-1105.42,269.24
2020-01-20,-878.21,1800.01,2195.12,2,4932Z,104,0.49999999999999994,0.8660254037844387,-0.9510565162951536,0.30901699437494723,1273.32,-1025.41,938.69,1360.04,-1142.0,1484.64,1017.4,-2348.59,667.24,2698.75,-750.09,2026.64,1422.2,-643.25,1998.66,66.79,-1095.9,509.27,653.42,-313.5,661.34,305.58,-796.11,990.19,111.5,-514.15,1606.28,-980.63,-2952.86,15.53,1956.7,-1465.18,1427.87,1994.01,-806.96,1663.24
2020-01-27,-1859.32,1307.77,1643.57,2,4932Z,104,0.49999999999999994,0.8660254037844387,-2.4492935982947064e-16,1.0,2195.12,-878.21,1800.01,1273.32,-1025.41,938.69,1360.04,-1142.0,1484.64,1017.4,-2348.59,667.24,2698.75,-750.09,2026.64,1422.2,-643.25,1998.66,66.79,-1095.9,509.27,653.42,-313.5,661.34,305.58,-796.11,990.19,111.5,-514.15,1606.28,-980.63,-2952.86,15.53,1956.7,-1465.18,1427.87
2020-02-03,-1246.26,1029.44,1426.75,2,4932Z,104,0.8660254037844386,0.5000000000000001,0.5877852522924732,-0.8090169943749473,1643.57,-1859.32,1307.77,2195.12,-878.21,1800.01,1273.32,-1025.41,938.69,1360.04,-1142.0,1484.64,1017.4,-2348.59,667.24,2698.75,-750.09,2026.64,1422.2,-643.25,1998.66,66.79,-1095.9,509.27,653.42,-313.5,661.34,305.58,-796.11,990.19,111.5,-514.15,1606.28,-980.63,-2952.86,15.53
2020-02-10,-1537.57,1328.74,1217.92,2,4932Z,104,0.8660254037844386,0.5000000000000001,-0.587785252292473,-0.8090169943749475,1426.75,-1246.26,1029.44,1643.57,-1859.32,1307.77,2195.12,-878.21,1800.01,1273.32,-1025.41,938.69,1360.04,-1142.0,1484.64,1017.4,-2348.59,667.24,2698.75,-750.09,2026.64,1422.2,-643.25,1998.66,66.79,-1095.9,509.27,653.42,-313.5,661.34,305.58,-796.11,990.19,111.5,-514.15,1606.28
2020-02-17,-2066.15,608.15,-240.08,2,4932Z,104,0.8660254037844386,0.5000000000000001,-0.9510565162951536,0.30901699437494723,1217.92,-1537.57,1328.74,1426.75,-1246.26,1029.44,1643.57,-1859.32,1307.77,2195.12,-878.21,1800.01,1273.32,-1025.41,938.69,1360.04,-1142.0,1484.64,1017.4,-2348.59,667.24,2698.75,-750.09,2026.64,1422.2,-643.25,1998.66,66.79,-1095.9,509.27,653.42,-313.5,661.34,305.58,-796.11,990.19
2020-02-24,-160.99,39.8,-361.27,2,4932Z,104,0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-240.08,-2066.15,608.15,1217.92,-1537.57,1328.74,1426.75,-1246.26,1029.44,1643.57,-1859.32,1307.77,2195.12,-878.21,1800.01,1273.32,-1025.41,938.69,1360.04,-1142.0,1484.64,1017.4,-2348.59,667.24,2698.75,-750.09,2026.64,1422.2,-643.25,1998.66,66.79,-1095.9,509.27,653.42,-313.5,661.34
2020-03-02,-443.79,653.35,-151.71,2,4932Z,104,1.0,6.123233995736766e-17,0.5877852522924732,-0.8090169943749473,-361.27,-160.99,39.8,-240.08,-2066.15,608.15,1217.92,-1537.57,1328.74,1426.75,-1246.26,1029.44,1643.57,-1859.32,1307.77,2195.12,-878.21,1800.01,1273.32,-1025.41,938.69,1360.04,-1142.0,1484.64,1017.4,-2348.59,667.24,2698.75,-750.09,2026.64,1422.2,-643.25,1998.66,66.79,-1095.9,509.27
